slug,name,country,lat_long,preview_image,created_at,updated_at,country_code,state_code,state,description_short,description_long,population
berlin,Berlin,Germany,"52.5200,13.4050",https://arbeits-cafe.b-cdn.net/cities/berlin-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:58.674025+00,DE,BE,Berlin,"Berlin ist ein Zentrum für Startups und digitale Nomaden, ideal für arbeitsfreundliche Cafés.","Berlin, die Hauptstadt Deutschlands, ist bekannt für ihre lebendige Kultur, Geschichte und dynamische Tech-Szene. Die Stadt zieht Startups und digitale Nomaden an und bietet eine Vielzahl von Coworking-Spaces und Cafés, die auf Remote-Arbeiter ausgerichtet sind. Mit ihren vielfältigen Stadtteilen bietet Berlin eine einzigartige Mischung aus Kreativität und Innovation, was es zu einem attraktiven Ziel für Fachleute macht, die Inspiration und Zusammenarbeit suchen. Die reiche Geschichte der Stadt, gepaart mit ihrer modernen Infrastruktur, schafft eine Umgebung, in der Tradition auf Innovation trifft, was Berlin zu einem besonderen Ort zum Arbeiten und Gedeihen macht.",3782202,18
bielefeld,Bielefeld,Germany,"52.0302,8.5325",https://arbeits-cafe.b-cdn.net/cities/bielefeld-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:17.327226+00,DE,NW,Nordrhein-Westfalen,Bielefelds Tech-Szene und kulturelle Attraktionen bieten dynamische Arbeitsräume.,"Bielefeld, im Herzen des Teutoburger Waldes gelegen, ist bekannt für seine florierende Tech-Szene und lebendigen kulturellen Attraktionen. Die zahlreichen Tech-Unternehmen und kulturellen Veranstaltungsorte der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bielefeld bieten eine dynamische Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",338410,0
bochum,Bochum,Germany,"51.4818,7.2162",https://arbeits-cafe.b-cdn.net/cities/bochum-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:11.537561+00,DE,NW,Nordrhein-Westfalen,Bochums Tech-Szene und kulturelle Attraktionen bieten dynamische Arbeitsräume.,"Bochum, im Ruhrgebiet gelegen, ist bekannt für seine florierende Tech-Szene und lebendigen kulturellen Attraktionen. Die zahlreichen Tech-Unternehmen und kulturellen Veranstaltungsorte der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bochum bieten eine dynamische Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",366385,0
bonn,Bonn,Germany,"50.7374,7.0982",https://arbeits-cafe.b-cdn.net/cities/bonn-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:03:04.709555+00,DE,NW,Nordrhein-Westfalen,Bonns reiche Geschichte und kulturelle Attraktionen bieten inspirierende Arbeitsräume.,"Bonn, bekannt für seine reiche Geschichte und lebendige Kulturszene, ist eine Stadt, die Tradition mit Moderne verbindet. Die zahlreichen kulturellen Attraktionen und historischen Wahrzeichen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Bonn bieten eine produktive Umgebung für Remote-Arbeit, während die kulturellen Veranstaltungen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",335789,0
bremen,Bremen,Germany,"53.0793,8.8017",https://arbeits-cafe.b-cdn.net/cities/bremen-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:58.628057+00,DE,HB,Bremen,Bremens maritimer Charme und kreative Räume ziehen Freiberufler an.,"Bremen, eine historische Hafenstadt, ist bekannt für ihren maritimen Charme und ihre lebendige Kulturszene. Die zahlreichen Theater, Museen und Musikveranstaltungen der Stadt ziehen Kreative und Freiberufler aus der ganzen Welt an. Die Cafés und Coworking-Spaces in Bremen bieten eine förderliche Umgebung für Remote-Arbeit, während die malerische Uferpromenade und die Grünflächen eine entspannende Kulisse bieten. Die Mischung aus Tradition und Innovation macht die Stadt zu einem einzigartigen Ort zum Leben und Arbeiten und bietet Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",577026,0
dortmund,Dortmund,Germany,"51.5136,7.4653",https://arbeits-cafe.b-cdn.net/cities/dortmund-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:52.340887+00,DE,NW,Nordrhein-Westfalen,Dortmunds Tech-Industrie und Sportkultur bieten dynamische Arbeitsräume.,"Dortmund, im Ruhrgebiet gelegen, ist bekannt für seine florierende Tech-Industrie und leidenschaftliche Sportkultur. Die zahlreichen Tech-Unternehmen und Startups der Stadt ziehen Fachleute an, die Innovation und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Dortmund bieten eine dynamische Umgebung für Remote-Arbeit, während die Sportstätten und kulturellen Attraktionen Möglichkeiten für Freizeit und Networking bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",595471,0
dresden,Dresden,Germany,"51.0504,13.7373",https://arbeits-cafe.b-cdn.net/cities/dresden-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:46.157605+00,DE,SN,Sachsen,Dresdens barocke Architektur und Tech-Szene bieten inspirierende Arbeitsräume.,"Dresden, bekannt für seine atemberaubende barocke Architektur und florierende Tech-Szene, ist eine Stadt, die Geschichte mit Innovation verbindet. Die zahlreichen kulturellen Attraktionen und Tech-Unternehmen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Dresden bieten eine produktive Umgebung für Remote-Arbeit, während die historischen Wahrzeichen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",566222,0
duesseldorf,Düsseldorf,Germany,"51.2277,6.7735",https://arbeits-cafe.b-cdn.net/cities/dusseldorf-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:58.936043+00,DE,NW,Nordrhein-Westfalen,Düsseldorfs Mode- und Kunstszene bieten inspirierende Arbeitsräume.,"Düsseldorf, bekannt für seine Mode- und Kunstszene, ist eine Stadt, die Kreativität mit Geschäft verbindet. Die zahlreichen Galerien, Museen und Modeveranstaltungen der Stadt ziehen Fachleute aus der ganzen Welt an. Die Cafés und Coworking-Spaces in Düsseldorf bieten eine förderliche Umgebung für Remote-Arbeit, während die lebendige Kulturszene Möglichkeiten für Networking und Zusammenarbeit bietet. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",631217,24
duisburg,Duisburg,Germany,"51.4344,6.7623",https://arbeits-cafe.b-cdn.net/cities/duisburg-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:40.006287+00,DE,NW,Nordrhein-Westfalen,Duisburgs industrielles Erbe und Grünflächen ziehen Remote-Arbeiter an.,"Duisburg, im Herzen des Ruhrgebiets gelegen, ist bekannt für sein industrielles Erbe und seine Grünflächen. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe und die moderne Infrastruktur Duisburgs schaffen eine einzigartige Mischung aus Tradition und Innovation, was die Stadt zu einem attraktiven Ziel für Arbeit und Freizeit macht.",503707,0
essen,Essen,Germany,"51.4556,7.0116",https://arbeits-cafe.b-cdn.net/cities/essen-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:33.732796+00,DE,NW,Nordrhein-Westfalen,Essens industrielles Erbe und Grünflächen ziehen Remote-Arbeiter an.,"Essen, im Herzen des Ruhrgebiets gelegen, ist bekannt für sein industrielles Erbe und seine Grünflächen. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe und die moderne Infrastruktur Essens schaffen eine einzigartige Mischung aus Tradition und Innovation, was die Stadt zu einem attraktiven Ziel für Arbeit und Freizeit macht.",586608,0
frankfurt-am-main,Frankfurt am Main,Germany,"50.1109,8.6821",https://arbeits-cafe.b-cdn.net/cities/frankfurth-am-main-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-17 07:50:12.474127+00,DE,HE,Hessen,Frankfurt ist ein Finanzzentrum mit modernen Cafés für Geschäftstreffen.,"Frankfurt, oft als Finanzhauptstadt Deutschlands bezeichnet, beherbergt die Europäische Zentralbank und zahlreiche Finanzinstitute. Die Skyline der Stadt, die von Wolkenkratzern dominiert wird, spiegelt ihren Status als globales Finanzzentrum wider. Frankfurt bietet eine Reihe moderner Cafés und Coworking-Spaces, was es zu einem idealen Ort für Geschäftstreffen und Remote-Arbeit macht. Das effiziente öffentliche Verkehrssystem der Stadt und der internationale Flughafen bieten hervorragende Konnektivität, während die reiche Kulturszene und die grünen Flächen einen ausgewogenen Lebensstil für Fachleute bieten.",775790,9
hamburg,Hamburg,Germany,"53.5511,9.9937",https://arbeits-cafe.b-cdn.net/cities/hamburg-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-17 07:50:34.335193+00,DE,HH,Hamburg,Hamburgs Hafenstadt-Charme und kreative Räume ziehen Freiberufler an.,"Hamburg, die zweitgrößte Stadt Deutschlands, ist bekannt für ihren geschäftigen Hafen und ihr maritimes Erbe. Die lebendige Kulturszene der Stadt, mit ihren Theatern, Museen und Musikveranstaltungen, zieht Kreative und Freiberufler aus der ganzen Welt an. Die zahlreichen Cafés und Coworking-Spaces in Hamburg bieten eine förderliche Umgebung für Remote-Arbeit, während die malerischen Kanäle und Parks eine entspannende Kulisse bieten. Die Mischung aus Tradition und Innovation macht die Stadt zu einem einzigartigen Ort zum Leben und Arbeiten und bietet Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",1910160,9
hannover,Hannover,Germany,"52.3759,9.7320",https://arbeits-cafe.b-cdn.net/cities/hanover-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:21.30363+00,DE,NI,Niedersachsen,Hannovers Messen und Grünflächen ziehen Remote-Arbeiter an.,"Hannover, bekannt für seine internationalen Messen und Grünflächen, ist eine Stadt, die Geschäft mit Freizeit verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",548186,0
heilbronn,Heilbronn,Germany,"49.1426,9.2195",https://arbeits-cafe.b-cdn.net/cities/heilbronn-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-17 07:51:43.810578+00,DE,BW,Baden-Württemberg,Heilbronn bietet eine ruhige Umgebung mit charmanten Cafés.,"Heilbronn, im Herzen der Region Baden-Württemberg gelegen, ist bekannt für seine malerischen Weinberge und die charmante Altstadt. Die ruhige Atmosphäre der Stadt und die freundliche Gemeinschaft machen sie zu einem idealen Ort für diejenigen, die eine ruhigere Arbeitsumgebung suchen. Die Cafés und lokalen Geschäfte in Heilbronn bieten einen einladenden Raum für Remote-Arbeiter, während die Nähe zur Natur Möglichkeiten zur Entspannung und Inspiration bietet. Die reiche Geschichte und das kulturelle Erbe der Stadt tragen zu ihrem Reiz bei und machen Heilbronn zu einem besonderen Ort zum Leben und Arbeiten.",130093,1
koeln,Köln,Germany,"50.9375,6.9603",https://arbeits-cafe.b-cdn.net/cities/cologne-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:59.172907+00,DE,NW,Nordrhein-Westfalen,Köln bietet eine lebendige Kunstszene und gemütliche Cafés zum Arbeiten.,"Köln, bekannt für seinen beeindruckenden Dom und seine lebendige Kunstszene, ist eine Stadt, die Geschichte mit Moderne verbindet. Die lebhafte Atmosphäre der Stadt und die freundlichen Einheimischen machen sie zu einem einladenden Ort für Remote-Arbeiter. Die zahlreichen Cafés und Coworking-Spaces in Köln bieten den perfekten Rahmen für Produktivität und Kreativität. Das reiche kulturelle Erbe der Stadt, kombiniert mit ihren modernen Annehmlichkeiten, bietet eine einzigartige Umgebung für Fachleute, die ein Gleichgewicht zwischen Arbeit und Freizeit suchen. Mit ihrer zentralen Lage und hervorragenden Verkehrsanbindung ist Köln ein idealer Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",1087353,12
leipzig,Leipzig,Germany,"51.3397,12.3731",https://arbeits-cafe.b-cdn.net/cities/leipzig-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-17 07:50:46.00906+00,DE,SN,Sachsen,Leipzigs kreative Atmosphäre und erschwingliches Leben ziehen Freiberufler an.,"Leipzig, oft als das 'neue Berlin' bezeichnet, ist bekannt für seine kreative Atmosphäre und erschwingliches Leben. Die florierende Kunstszene und das lebendige kulturelle Leben der Stadt ziehen Freiberufler und Remote-Arbeiter an, die Inspiration und Zusammenarbeit suchen. Die zahlreichen Cafés und Coworking-Spaces in Leipzig bieten einen produktiven Rahmen für die Arbeit, während die Grünflächen und die historische Architektur eine entspannende Kulisse bieten. Die zentrale Lage der Stadt und die hervorragende Verkehrsanbindung machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",619879,9
muenchen,München,Germany,"48.1373,11.5755",https://arbeits-cafe.b-cdn.net/cities/munich-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:58.835907+00,DE,BY,Bayern,"München vereint Tradition mit Innovation, ideal für arbeitsfreundliche Cafés.","München, die Hauptstadt Bayerns, ist bekannt für ihr reiches kulturelles Erbe und ihre lebendige Wirtschaft. Die Mischung aus Tradition und Innovation macht die Stadt zu einem attraktiven Ziel für Fachleute, die eine dynamische Arbeitsumgebung suchen. Die zahlreichen Cafés und Coworking-Spaces in München richten sich an Remote-Arbeiter und bieten einen produktiven Rahmen für Kreativität und Zusammenarbeit. Die hervorragende Verkehrsanbindung der Stadt und die Nähe zu den Alpen bieten Möglichkeiten zur Freizeitgestaltung und Erkundung, was München zu einem besonderen Ort zum Leben und Arbeiten macht.",1510378,12
muenster,Münster,Germany,"51.9607,7.6261",https://arbeits-cafe.b-cdn.net/cities/muenster-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:02:11.703936+00,DE,NW,Nordrhein-Westfalen,Münsters historischer Charme und Grünflächen ziehen Remote-Arbeiter an.,"Münster, bekannt für seinen historischen Charme und seine Grünflächen, ist eine Stadt, die Tradition mit Natur verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",322904,0
nuernberg,Nürnberg,Germany,"49.4521,11.0767",https://arbeits-cafe.b-cdn.net/cities/nuernberg-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:49:59.826998+00,DE,BY,Bayern,Nürnbergs mittelalterlicher Charme und Tech-Szene bieten inspirierende Arbeitsräume.,"Nürnberg, bekannt für seinen mittelalterlichen Charme und seine florierende Tech-Szene, ist eine Stadt, die Geschichte mit Innovation verbindet. Die zahlreichen kulturellen Attraktionen und Tech-Unternehmen der Stadt ziehen Fachleute an, die Inspiration und Zusammenarbeit suchen. Die Cafés und Coworking-Spaces in Nürnberg bieten eine produktive Umgebung für Remote-Arbeit, während die historischen Wahrzeichen und Grünflächen eine entspannende Kulisse bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden.",526091,7
stuttgart,Stuttgart,Germany,"48.7769,9.1810",https://arbeits-cafe.b-cdn.net/cities/stuttgart-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-16 19:50:00.045201+00,DE,BW,Baden-Württemberg,Stuttgarts Tech-Szene und Grünflächen ziehen Remote-Arbeiter an.,"Stuttgart, die Hauptstadt von Baden-Württemberg, ist bekannt für ihre florierende Automobilindustrie und innovative Tech-Szene. Die zahlreichen Parks und Grünflächen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Das reiche kulturelle Erbe Stuttgarts, kombiniert mit seiner modernen Infrastruktur, schafft eine einzigartige Mischung aus Tradition und Innovation. Die hervorragende Verkehrsanbindung der Stadt und die Nähe zum Schwarzwald machen sie zu einem idealen Ort für Arbeit und Freizeit.",633484,7
wuppertal,Wuppertal,Germany,"51.2562,7.1508",https://arbeits-cafe.b-cdn.net/cities/wuppertal-thumb.jpg,2024-12-11 09:01:22.204741+00,2024-12-18 17:01:57.062757+00,DE,NW,Nordrhein-Westfalen,Wuppertals einzigartige Schwebebahn und Grünflächen ziehen Remote-Arbeiter an.,"Wuppertal, bekannt für seine einzigartige Schwebebahn und Grünflächen, ist eine Stadt, die Innovation mit Natur verbindet. Die zahlreichen Parks und kulturellen Attraktionen der Stadt bieten eine erfrischende Umgebung für Remote-Arbeit, während die Cafés und Coworking-Spaces einen produktiven Rahmen für Fachleute bieten. Die hervorragende Verkehrsanbindung und zentrale Lage der Stadt machen sie zu einem idealen Ausgangspunkt, um Deutschland und darüber hinaus zu erkunden und bieten Möglichkeiten für Networking und Zusammenarbeit in einem dynamischen Umfeld.",358938,0